raw_payer	primaryPayerType	mapped_payer
UNITED HEALTHCARE (MD)	MEDICAID	UNITED HEALTHCARE (MD)
UNITED HEALTHCARE (TN)	MEDICAID	UNITED HEALTHCARE (TN) 
WALGREENS HEALTHPLUS	PBM	WALGREENS
BCBS MONTANA	OTHER	BCBS MONTANA (MT)
HEALTH NET INC. (OR)	MEDICAID	HEALTH NET INC. (OR)
HEALTH NET INC. (OR)	OTHER	HEALTH NET INC. (OR)
UPMC HEALTH PLAN - EXPRESS	COMMERCIAL	UPMC HEALTH SYSTEM
UPMC HEALTH SYSTEM	MEDICAID	UPMC HEALTH SYSTEM
AMERICAN HEALTH CARE	PBM	AMERICAN HLTHCARE UNSPEC
BCBS OF LOUISIANA	COMMERCIAL	BCBS LOUISIANA (LA)
HUMANA (AZ)	OTHER	HUMANA (AZ)
JOHNS HOPKINS HEALTHCARE (MD)	OTHER	JOHNS HOPKINS HEALTHCARE (MD)
MEDICAID (TX)	MEDICAID	MEDICAID (TX)
MEDICA	COMMERCIAL	Other
MEDICA	MEDICAID	Other
"AETNA, INC."	MEDICAID	AETNA
"AETNA, INC."	OTHER	AETNA
"AETNA, INC."	COMMERCIAL	AETNA
BLUE CROSS BLUE SHIELD FEDERAL EMPLOYEE PROGRAM	OTHER	FEDERAL EMPLOYEES/ FEHB
MAGELLAN PHARMACY SOLUTIONS	MEDICARE	MAGELLAN
MEDIMPACT SUPER CARRIER	COMMERCIAL	MEDIMPACT
BCBS HEALTHCARE SERVICE CORP (IL)	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
KEYSTONE/AMERIHEALTH MERCY (PA)	OTHER	KEYSTONE/AMERIHEALTH MERCY (PA)
MEDICAID (OR)	COMMERCIAL	MEDICAID (OR)
NAVITUS	OTHER	Navitus
SAV RX	OTHER	SAV-RX
WELLDYNE RX	COMMERCIAL	WELLDYNERX
AETNA PDP	OTHER	AETNA
AETNA (TX)	OTHER	Aetna (TX)
AETNA (TX)	COMMERCIAL	Aetna (TX)
AMERIGROUP	COMMERCIAL	AMERIGROUP CORP/AMERICAID
BCBS TX	OTHER	BCBS HEALTHCARE SERVICE CORP (TX)
BCBS TX	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
BCBS OF MINNESOTA	COMMERCIAL	BCBS MINNESOTA (MN)
BCBS OF MINNESOTA	OTHER	BCBS MINNESOTA (MN)
BCBS/BS/HEALTH NOW NEW YORK	OTHER	BCBS/BS/HEALTH NOW NEW YORK
CIGNA HEALTHSPRING	MEDICARE	CIGNA
MEDCO MEDICARE D (PDP)	OTHER	ESI
MEDCO MEDICARE D (PDP)	COMMERCIAL	ESI
GEISINGER HEALTH PLAN	COMMERCIAL	GEISINGER HEALTH SYSTEM CORPORATION
HEALTH PARTNERS	COMMERCIAL	HEALTH PARTNERS PLANS
HORIZON BLUE CROSS BLUE SHIELD	COMMERCIAL	"HORIZON HEALTHCARE SERVICES, INC."
UNITED HEALTHCARE (AK)	OTHER	UNITED HEALTHCARE (AK)
NONE	PBM	Other
AETNA (IL)	COMMERCIAL	Aetna (IL)
AETNA (IL)	OTHER	Aetna (IL)
ANTHEM(CT)	OTHER	Anthem(CT)
BCBS AL	COMMERCIAL	BCBS ALABAMA (AL)
EXCELLUS BLUE CROSS BLUE SHIELD	COMMERCIAL	BCBS EXCELLUS (NY)
BCBS FEDERAL	PBM	FEDERAL EMPLOYEES/ FEHB
AMERIHEALTH CARITAS NORTHEAST	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC (PA)
CENTENE(IN)	COMMERCIAL	Centene(IN)
HEALTHPARTNERS	MEDICAID	"HEALTH PARTNERS, INC."
HUMANA (OH)	COMMERCIAL	HUMANA (OH)
PRESRIPTION SOLUTIONS	OTHER	OPTUMRX
UNITED HEALTHCARE (AR)	COMMERCIAL	UNITED HEALTHCARE (AR)
UNITED HEALTHCARE (WI)	COMMERCIAL	UNITED HEALTHCARE (WI)
XIK	OTHER	Other
BLUE CROSS BLUE SHIELD OF NORTH CAROLINA	COMMERCIAL	BCBS NORTH CAROLINA (NC)
INBOUND ORT	OTHER	Other
PATIENT ASSISTANCE PROGRAM	CASH	Other
AETNA PHARMACY	OTHER	AETNA
AETNA (IN)	COMMERCIAL	Aetna (IN)
AETNA (KY)	COMMERCIAL	Aetna (KY)
AETNA (MI)	COMMERCIAL	Aetna (MI)
AETNA (OK)	COMMERCIAL	Aetna (OK)
AMERIGROUP FLORIDA - ESI	MEDICAID	AMERIGROUP CORP/AMERICAID
AMERIGROUP WA	MEDICAID	AMERIGROUP CORP/AMERICAID
ANTHEM BLUE CROSS BLUE SHIELD OF CONNECTICUT PPO	COMMERCIAL	Anthem(CT)
ANTHEM FLORIDA-EXPRESS	MEDICAID	Anthem(FL)
ANTHEM KY MCAID	OTHER	Anthem(KY)
EMPIRX HEALTH	OTHER	Anthem(NY)
BCBS OF AZ-BLUE CARD SPECIALTY ONLY	COMMERCIAL	BCBS ARIZONA (AZ)
EXCELLUS BCBS OF NY - BLUE CARD	COMMERCIAL	BCBS EXCELLUS (NY)
EXCELLUS MONROE PLAN	MEDICAID	BCBS EXCELLUS (NY)
BCBS OF FLORIDA	OTHER	BCBS FLORIDA (FL)
BCBS OF FLORIDA - BLUECARD	COMMERCIAL	BCBS FLORIDA (FL)
BCBS IL - PRIME THERAPEUTICS	MEDICAID	BCBS HEALTHCARE SERVICE CORP (IL)
HMO ILLINOIS (IL)	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS HEALTHCARE SERVICE CORP (OK)	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (OK)
BCBS OK-HCSC-BLUE CARD	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (OK)
BCBS OF TEXAS	OTHER	BCBS HEALTHCARE SERVICE CORP (TX)
BCBS TX - PRIME THERAPEUTICS	PBM	BCBS HEALTHCARE SERVICE CORP (TX)
HIGHMARK BCBS PA DRUG ONLY	COMMERCIAL	BCBS HIGHMARK (PA) 
HORIZON BCBS NEW JERSEY - BLUE CARD	COMMERCIAL	BCBS HORIZON (NJ)
HORIZON BCBS OF NEW JERSEY - PRIME	PBM	BCBS HORIZON (NJ)
HORIZON BLUE CROSS BLUE SHIELD OF NJ	COMMERCIAL	BCBS HORIZON (NJ)
BCBS OF MISSOURI - BLUE CARD	COMMERCIAL	BCBS KANSAS CITY (MO)
BCBS OF MICHIGAN	OTHER	BCBS MICHIGAN (MI)
BCBS MISSISSIPPI	COMMERCIAL	BCBS MISSISSIPPI (MS)
BCBS OF NC - SPECIALTY PHARMACY	COMMERCIAL	BCBS NORTH CAROLINA (NC)
BCBS SC - CAREMARK - PCS	PBM	BCBS SOUTH CAROLINA (SC)
BCBS SOUTH CAROLINA	COMMERCIAL	BCBS SOUTH CAROLINA (SC)
BCBS OF TN MAJOR MED	OTHER	BCBS TENNESSEE (TN)
REGENCE BCBS OF UTAH	COMMERCIAL	BCBS/THE REGENCE GROUP (UT)
BCBS COMMUNITY ICP	OTHER	BLUE CROSS AND BLUE SHIELD
BCBS HORIZON	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
BCBS PA	COMMERCIAL	BLUE CROSS CAPITAL/CBC (PA)
BCBS MA	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
CARESOURCE (IN)	COMMERCIAL	Caresource (IN)
CATAMARAN RX	OTHER	Catamaran
AMBETTER BEHAVIORAL HEALTH	MEDICAID	CENTENE
CIGNA HEALTH	OTHER	CIGNA
CAREMARK IATSE	COMMERCIAL	CVS CAREMARK
EDUCATORS MUTUAL	COMMERCIAL	EDUCATORS MUTUAL
GROUP HEALTH INC EMBLEM-EXPRESS	MEDICAID	EMBLEMHEALTH/HIP/GHI (NY)
HIP OF NEW YORK - EXPRESS SCRIPTS	MEDICAID	EMBLEMHEALTH/HIP/GHI (NY)
MEDCO MEDICARE  D     (PDP)	MEDICARE	ESI
XXMEDCO	OTHER	ESI
GATEWAY HEALTH PLAN - CAREMARK	MEDICAID	GATEWAY HEALTH PLAN
GEISINGER HEALTH PLAN FAMILY	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
HARVARD PILGRIM	OTHER	"HARVARD PILGRIM HEALTHCARE, INC."
HARVARD PILGRIM HEALTH CARE INC1133	COMMERCIAL	"HARVARD PILGRIM HEALTHCARE, INC."
HEALTH FIRST HEALTH PLANS	MEDICAID	HEALTH FIRST HEALTH PLANS
"HIGHMARK, INC"	COMMERCIAL	HIGHMARK
HUMANA - ARGUS	MEDICARE	HUMANA
HUMANA D	OTHER	HUMANA
HUMANA MAJOR MED	OTHER	HUMANA
HUMANA MCARE D	OTHER	HUMANA
HUMANA PREFERRED	OTHER	HUMANA
HUMANA (MO)	COMMERCIAL	HUMANA (MO)
KROGER MANAGED RX DRUG PLAN - SXC	PBM	KROGER RX PLNS UNSPEC
MAGELLAN HEALTH SYSTEMS	OTHER	MAGELLAN
MAGELLAN RX MEDICARE	MEDICARE	MAGELLAN
AR MEDICAID	OTHER	Medicaid (AR)
MARYLAND MEDICAID	MEDICAID	MEDICAID (MD)
MICHIGAN MEDICAID	MEDICAID	MEDICAID (MI)
NEW YORK MEDICAID PROGRAM	MEDICAID	MEDICAID (NY)
OHIO MCAID-PARAM	OTHER	MEDICAID (OH)
VT MEDICAID	MEDICAID	MEDICAID (VT)
WISCONSIN MEDICAID	OTHER	MEDICAID (WI)
MERIDIAN HEALTH PLAN	OTHER	Meridian Health Plan
NETWORK HEALTH PLAN (WI)	COMMERCIAL	NETWORK HEALTH PLAN (WI)
SAVE RX	OTHER	SAV-RX
SAVRX	COMMERCIAL	SAV-RX
OXFORD HEALTH PLAN	COMMERCIAL	UNITED HEALTHCARE
UHC COMMUNITY PLAN	COMMERCIAL	UNITED HEALTHCARE
UHCCP	COMMERCIAL	UNITED HEALTHCARE
UNITED HEALTHCARE (NC)	COMMERCIAL	UNITED HEALTHCARE (NC)
MEDICARE-RX D ADVANCE RX	MEDICARE	Other
WELLCARE - CAREMARK	MEDICARE	WELLCARE HEALTH PLANS
WELLCARE CVS CAREMARK	MEDICAID	WELLCARE HEALTH PLANS
WELLCARE - KENTUCKY	MEDICAID	WELLCARE HEALTH PLANS (KY)
WINCO FOODS	COMMERCIAL	WINCO FOODS
CAMBIA HEALTH SOLUTIONS	COMMERCIAL	Other
GENERAL MEDICAID  MEDICARE	MEDICARE	Other
HLTH OF MICHIGAN	COMMERCIAL	Other
BCBS OHIO	COMMERCIAL	BLUE CROSS BLUE SHIELD
RX HELP LINE 800-364-6331.	OTHER	Other
HEALTH & FAMILY SERVICES	OTHER	Other
PAID PRESCRIPTIONS	OTHER	Other
MEDICAL PATIENT	COMMERCIAL	Other
PAID PRESCRIPTIONS	COMMERCIAL	Other
BLUE CROSS ALASKA	COMMERCIAL	BLUE CROSS BLUE SHIELD
BLUE CROSS BLUE SHIELD MASSACHUSETTS	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
PHARMACEUTICAL CARE NETWORK	COMMERCIAL	Other
BOSTON MED HLTHNET PLN-ENVISIONRX	MEDICAID	"BOSTON MEDICAL CENTER HEALTH PLAN, INC."
MEDICARE RX	OTHER	Other
BUCKEYE COMMUNITY HEALTH-CAREMARK	MEDICAID	CENTENE
HEALTH ALL OF IL	MEDICARE	Other
RX HELP LINE 800-364-6331.	COMMERCIAL	Other
ACS	MEDICAID	Other
HLTH OF MICHIGAN	OTHER	Other
RX	OTHER	Other
CONVERSION PLAN	OTHER	Other
MEDICARE RX D TEMP PLAN   G	MEDICARE	Other
SECURERX PDP	MEDICARE	Other
FUTURE SCRIPTS-ARGUS	PBM	PBM
GOLDNET/PRIMETHERAPEUTICS	PBM	Other
FUTURE SCRIPTS	OTHER	PBM
HIGH	COMMERCIAL	Other
MAGNA CARE	COMMERCIAL	MAGNA INTERNATIONAL OF AMERICA
RELAYHEALTH	OTHER	Other
SIERRA HEALTH & LIFE INSURANCE	OTHER	Other
AME08	OTHER	Other
IBS	COMMERCIAL	Other
MEDICARE-RX D RX OPTIONS	MEDICARE	Other
OPTIMA	COMMERCIAL	OPTIMA HEALTH (VA)
NONE	GOVERNMENT	Other
RXSOLN	OTHER	PBM
PCS CAREMARK	COMMERCIAL	CVS CAREMARK
ADVANCE FOR 3PM	OTHER	PBM
FUTURESCRIPTS	COMMERCIAL	PBM
FUTURESCRIPTS	OTHER	PBM
PREMERA BC - BLUE CARD	COMMERCIAL	PREMERA
PREMERA BC WA AK DRUG ONLY	COMMERCIAL	PREMERA
PRESBYHLTH	COMMERCIAL	PRESBYTERIAN HEALTH PLAN (NM)
PRIORITY PARTNERS-CAREMRK FRMLY PCS	MEDICAID	JOHNS HOPKINS HEALTHCARE (MD)
PHARMACEUTICAL CARE NETWORK	OTHER	Other
CAPITAL CAREMARK - PCS	PBM	Other
COMM CARE RX.	OTHER	Other
UHC	MEDICAID	UNITED HEALTHCARE
CAREMARK	CASH	CVS CAREMARK
AETNA	GOVERNMENT	AETNA
AETNA BETTER HEALTH - PENNSYLVANIA	GOVERNMENT	Aetna (PA)
AETNA BETTER HEALTH - PENNSYLVANIA	OTHER	Aetna (PA)
BCBS MICHIGAN	MEDICAID	BCBS MICHIGAN (MI)
SXC HEALTH SOLUTIONS	MEDICARE	UNITED HEALTHCARE
CASH	MEDICARE	Cash
BCBS TEXAS	MEDICAID	BCBS HEALTHCARE SERVICE CORP (TX)
BCBS TEXAS	MEDICARE	BCBS HEALTHCARE SERVICE CORP (TX)
BCBS ILLINOIS	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
EXCELLUS BCBS	MEDICARE	BCBS EXCELLUS (NY)
INDEPENDENCE BLUE CROSS	MEDICARE	BLUE CROSS INDEPENDENCE/IBC
HIGHMARK	MEDICARE	Highmark
HORIZON NJ HEALTH	MEDICARE	BCBS HORIZON (NJ)
UNITED HEALTHCARE COMMUNITY PLAN	MEDICARE	UNITED HEALTHCARE
MEDCO	MEDICARE	ESI
MEDCO	WORKERS COMP	ESI
GHI	OTHER	EMBLEMHEALTH
SILVERSCRIPT	COMMERCIAL	SILVERSCRIPT
BCBS FLORIDA	OTHER	BCBS FLORIDA (FL)
BCBS HIGHMARK (PA)	WORKERS COMP	BCBS HIGHMARK (PA) 
FIDELIS CARE	CASH	FIDELIS CARE NEW YORK (NY) 
FIDELIS CARE	MEDICARE	FIDELIS CARE NEW YORK (NY) 
FIDELIS CARE	OTHER	FIDELIS CARE NEW YORK (NY) 
UNITED HEALTHCARE	MEDICARE	UNITED HEALTHCARE
TENNCARE	OTHER	MEDICAID (TN)
TENNCARE	COMMERCIAL	MEDICAID (TN)
CAPITAL BLUECROSS	MEDICARE	BLUE CROSS CAPITAL/CBC (PA)
CATALYST RX	OTHER	Catalyst(Unspecified)
BCBS RHODE ISLAND	MEDICARE	BCBS RHODE ISLAND (RI)
FIDELIS	CASH	FIDELIS CARE NEW YORK (NY) 
GEISINGER HEALTH PLAN (PA)	WORKERS COMP	GEISINGER HEALTH PLAN (PA)
HEALTH NET INC. (CA)	OTHER	HEALTH NET INC. (CA)
GATEWAY HEALTH PLAN	MEDICARE	Gateway Health Plan
HIGHMARK DELAWARE MEDICAID	COMMERCIAL	MEDICAID (DE)
CATAMARAN	COMMERCIAL	Catamaran
TENNESSEE MEDICAID	GOVERNMENT	MEDICAID (TN)
CDPHP	OTHER	"CAPITAL DISTRICT PHYSICIANS HEALTH PLAN, INC."
CDPHP	MEDICARE	"CAPITAL DISTRICT PHYSICIANS HEALTH PLAN, INC."
CORESOURCE	OTHER	Other
AETNA (NJ)	MEDICAID	Aetna (NJ)
AETNA BETTER HEALTH-PENNSYLVANIA	MEDICARE	Aetna (PA)
AETNA BETTER HEALTH-PENNSYLVANIA	OTHER	Aetna (PA)
INFORMED RX/SXC	MEDICAID	OPTUMRX
WELLPOINT NEXT RX - EXPRESS SCRIPTS	MEDICAID	ANTHEM
SILVER	COMMERCIAL	SILVERSCRIPT
UNITED HEALTH CARE	MEDICAID	UNITED HEALTHCARE
MAXOR PLUS	PBM	Other
MERIDIANRX	PBM	MERIDIAN HEALTH PLAN
PRIME THERAPUTICS	MEDICAID	PRIME THERAPEUTICS
HEALTH NET INC. (AZ)	OTHER	HEALTH NET INC. (AZ)
MEDICAID (MD)	OTHER	MEDICAID (MD)
GATEWAY	MEDICARE	GATEWAY HEALTH PLAN
GATEWAY	COMMERCIAL	GATEWAY HEALTH PLAN
GATEWAY	GOVERNMENT	GATEWAY HEALTH PLAN
PRESCRIPTION SOLUTIONS	MEDICARE	OPTUMRX
MED MUTUAL OF OH/CAROLINA CARE (OH)	MEDICAID	MED MUTUAL OF OH/CAROLINA CARE (OH)
PERFORM RX	OTHER	AMERIHEALTH CARITAS FAMILY OF COMPANIES
BC/BS FEDERAL EMPLOYEES	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
BCBS TENNESSEE	MEDICARE	BCBS TENNESSEE (TN)
UNIVERA HEALTHCARE	MEDICARE	BCBS EXCELLUS (NY)
ANTHEM	MEDICAID	Anthem
ARGUS	MEDICARE	Argus
ARGUS	MEDICAID	Argus
EXCELLUS - ESI	MEDICAID	BCBS EXCELLUS (NY)
MEDICAID (MI)	OTHER	MEDICAID (MI)
MERIDIAN RX	MEDICAID	MERIDIAN HEALTH PLAN
BCBS ARKANSAS (AR)	OTHER	BCBS ARKANSAS (AR)
CAREFIRST	OTHER	"CAREFIRST, INC."
HUMANA (TX)	OTHER	HUMANA (TX)
PREMERA BLUE CROSS (WA)	OTHER	Premera Blue Cross (WA)
AETNA MEDICARE D	OTHER	AETNA
ANTHEM BLUE CROSS BLUE SHIELD	OTHER	Anthem
BLUE CROSS BLUE SHIELD OF GEORGIA	OTHER	BLUE CROSS BLUE SHIELD OF GEORGIA
BCBS ALABAMA (AL)	MEDICARE	BCBS ALABAMA (AL)
CENTENE(FL)	OTHER	Centene(FL)
UHCCS NJ MEDICAID	MEDICAID	UNITED HEALTHCARE (NJ)
PRIORITY HEALTH	OTHER	PRIORITY HEALTH (MI)
AMERIGROUP MARYLAND (MD)	MEDICAID	Anthem(MD)
AMERIGROUP MARYLAND (MD)	OTHER	Anthem(MD)
HEALTH PARTNERS PLANS (PA)	MEDICAID	HEALTH PARTNERS PLANS (PA)
HUMANA (TN)	OTHER	HUMANA (TN)
INFORMED RX	COMMERCIAL	OPTUMRX
UPMC FOR YOU - EXPRESS SCRIPTS	MEDICAID	UPMC HEALTH SYSTEM
BCBS HEALTHCARE SERVICE CORP (TX)	OTHER	BCBS HEALTHCARE SERVICE CORP (TX)
CENTENE	OTHER	Centene
PREMERA BLUE CROSS (AK)	OTHER	Premera Blue Cross (AK)
RESTAT	COMMERCIAL	RESTAT
BCBS HIGHMARK (WV)	OTHER	BCBS HIGHMARK (WV)
BLUE CROSS BLUE SHIELD	OTHER	BLUE CROSS AND BLUE SHIELD
EMBLEM HEALTH	OTHER	EMBLEMHEALTH
EMBLEM HEALTH	MEDICARE	EMBLEMHEALTH
AMERICHOICE	OTHER	UNITED HEALTHCARE
AMERICHOICE	MEDICAID	UNITED HEALTHCARE
BLUE CROSS IDAHO (ID)	OTHER	BLUE CROSS IDAHO (ID)
BCBS OF MASSACHUSETTS	OTHER	BLUE CROSS MASSACHUSETTS (MA)
CENTENE(MO)	MEDICAID	Centene(MO)
UNITED HEALTHCARE (MD)	OTHER	UNITED HEALTHCARE (MD)
UNITED HEALTHCARE (TN)	OTHER	UNITED HEALTHCARE (TN) 
BCBS ARIZONA	MEDICARE	BCBS ARIZONA (AZ)
HORIZON BLUE CROSS BLUE SHIELD OF NEW JERSEY	OTHER	BCBS HORIZON (NJ)
AETNA US HEALTH	MEDICARE	AETNA
BCBS IL	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
BLUE CHOICE PPO (TX)	OTHER	BCBS HEALTHCARE SERVICE CORP (TX)
JOHNS HOPKINS HEALTHCARE (MD)	MEDICAID	JOHNS HOPKINS HEALTHCARE (MD)
MEDICAID (TX)	OTHER	MEDICAID (TX)
UPMC	MEDICAID	UPMC HEALTH SYSTEM
AETNA (VA)	MEDICAID	Aetna (VA)
AETNA (VA)	OTHER	Aetna (VA)
ANTHEM(TN)	MEDICAID	Anthem(TN)
ANTHEM(TN)	OTHER	Anthem(TN)
GROUP HEALTH INC - EXP SCRIPTS	COMMERCIAL	EMBLEMHEALTH/HIP/GHI (NY)
MAGELLAN RX	COMMERCIAL	MAGELLAN
DELAWARE MEDICAID	MEDICAID	MEDICAID (DE)
MED IMPACT	OTHER	MEDIMPACT
MED IMPACT	COMMERCIAL	MEDIMPACT
UNIV PITTSBURGH HEALTH/UPMC (PA)	OTHER	UNIV PITTSBURGH HEALTH/UPMC (PA)
ADVANCE/PCS	OTHER	CVS CAREMARK
BLUE CROSS BLUE SHIELD OF TEXAS	OTHER	BCBS HEALTHCARE SERVICE CORP (TX)
NATIONAL PHARMACEUTICAL SERV.	COMMERCIAL	Other
SAN DIEGO PHYS MED GROUP	MEDICAID	Other
HEALTHNET	MEDICARE	HEALTH NET
THE HEALTH PLAN OF OHIO VALLEY	COMMERCIAL	Other
AETNA (CT)	OTHER	Aetna (CT)
DST	MEDICARE	ARGUS
CENTENE(TX)	OTHER	Centene(TX)
EXPRESS SCRIPT	OTHER	ESI
FIDELIS CARE MEDICARE D	MEDICARE	FIDELIS CARE NEW YORK (NY) 
HEALTH NET	MEDICAID	Health Net
HEALTH NET	OTHER	Health Net
INDIANA MEDICAID	MEDICAID	MEDICAID (IN)
MEDICAID (OR)	OTHER	MEDICAID (OR)
BLUE CROSS NORTH DAKOTA	OTHER	BCBS NORTH DAKOTA (ND)
AMERIGROUP	MEDICAID	AMERIGROUP CORP/AMERICAID
AMERIGROUP	OTHER	AMERIGROUP CORP/AMERICAID
BCBS FLORIDA (FL)	COMMERCIAL	BCBS FLORIDA (FL)
BCBS OF NORTH CAROLINA	COMMERCIAL	BCBS NORTH CAROLINA (NC)
CIGNA HEALTHSPRING	OTHER	CIGNA
CIGNA HEALTHSPRING	COMMERCIAL	CIGNA
MEDCO MEDICARE D (PDP)	MEDICARE	ESI
GEISINGER HEALTH	COMMERCIAL	GEISINGER HEALTH SYSTEM CORPORATION
GEISINGER HEALTH PLAN	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
GEISINGER HEALTH PLAN	OTHER	GEISINGER HEALTH SYSTEM CORPORATION
HEALTH PARTNERS	OTHER	HEALTH PARTNERS PLANS
HEALTH PARTNERS	MEDICAID	HEALTH PARTNERS PLANS
HORIZON BLUE CROSS BLUE SHIELD	OTHER	"HORIZON HEALTHCARE SERVICES, INC."
HORIZON BLUE CROSS BLUE SHIELD	MEDICAID	"HORIZON HEALTHCARE SERVICES, INC."
HUMANA PART D	OTHER	HUMANA
MEDICAID (TN)	OTHER	MEDICAID (TN)
MEDICAID (WV)	OTHER	MEDICAID (WV)
MEDICAID (WV)	MEDICAID	MEDICAID (WV)
MERCY MARICOPA (AZ)	COMMERCIAL	SOUTHWEST CATHOLIC HLTH NTWRK (AZ)
UNITED HEALTHCARE (FL)	COMMERCIAL	UNITED HEALTHCARE (FL)
ACCESS	MEDICAID	Other
ACCESS HEALTH SOURCE	MEDICAID	Other
ASR	COMMERCIAL	Other
BROADREACH MEDICAL RESOURCES	PBM	Other
BLUE CROSS BLUE SHIELD OF MICHIGAN	OTHER	BCBS MICHIGAN (MI)
BUCKEYE COMMUNITY HEALTH PLAN-SPECIALTY DRUGS	MEDICAID	CENTENE
CONIFER	COMMERCIAL	Other
MDWISE IND MCAID	COMMERCIAL	MDWISE (IN)
COPAY	OTHER	Other
COUNTY CARE	OTHER	Other
DATA RX MANAGEMENT	PBM	Other
ANTHEM(CT)	COMMERCIAL	Anthem(CT)
BCBS AL	OTHER	BCBS ALABAMA (AL)
EXCELLUS BLUE CROSS BLUE SHIELD	MEDICAID	BCBS EXCELLUS (NY)
BCBS FEDERAL	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
AMERIHEALTH CARITAS NORTHEAST	MEDICAID	BLUE CROSS INDEPENDENCE/IBC (PA)
CENTENE(IN)	MEDICAID	Centene(IN)
HEALTHPARTNERS	COMMERCIAL	"HEALTH PARTNERS, INC."
HUMANA (OH)	OTHER	HUMANA (OH)
PRESRIPTION SOLUTIONS	COMMERCIAL	OPTUMRX
UNITED HEALTHCARE (AR)	OTHER	UNITED HEALTHCARE (AR)
UNITED HEALTHCARE (AR)	MEDICAID	UNITED HEALTHCARE (AR)
UNITED HEALTHCARE (WI)	OTHER	UNITED HEALTHCARE (WI)
GENERAL GLOBAL HEALTH	OTHER	Other
BLUE CROSS BLUE SHIELD OF NORTH CAROLINA	OTHER	BCBS NORTH CAROLINA (NC)
GENERAL PRESCRIPTION PRGM	PBM	Other
PART D PRESCRIPTION SOLUTIONS	OTHER	OPTUMRX
AETNA (AK)	OTHER	Aetna (AK)
AETNA (AK)	COMMERCIAL	Aetna (AK)
AETNA (KY)	OTHER	Aetna (KY)
AETNA (MA)	COMMERCIAL	Aetna (MA)
AETNA (MA)	OTHER	Aetna (MA)
AFFINITY HEALTH PLAN	MEDICARE	AFFINITY HLTH PLAN (NY)
AFFINITY HEALTH PLAN	MEDICAID	AFFINITY HLTH PLAN (NY)
ALLIED BENEFIT SYSTEMS	COMMERCIAL	ALLIED BENEFIT SYSTEMS (IL)
ALLIED BENEFIT SYSTEMS	OTHER	ALLIED BENEFIT SYSTEMS (IL)
AMERIBEN/IEC GROUP	OTHER	AMERIBEN/ IEC GROUP
AMERIBEN/IEC GROUP	MEDICAID	AMERIBEN/ IEC GROUP
EMPIRE PLAN	COMMERCIAL	Anthem(NY)
EMPIRE PLAN	OTHER	Anthem(NY)
BCBS OF ARIZONA	PBM	BCBS ARIZONA (AZ)
BCBS OF ARIZONA	OTHER	BCBS ARIZONA (AZ)
CARE 1ST HEALTH PLAN (AZ)	COMMERCIAL	CARE 1ST HEALTH PLAN (AZ)
CARE 1ST HEALTH PLAN (AZ)	OTHER	CARE 1ST HEALTH PLAN (AZ)
CENTENE(LA)	MEDICAID	Centene(LA)
CENTENE(LA)	OTHER	Centene(LA)
CAREMARK CDPHP	COMMERCIAL	CVS CAREMARK
CAREMARK CDPHP	CASH	CVS CAREMARK
CAREMARK CDPHP	MEDICARE	CVS CAREMARK
ENVISION RX	OTHER	ENVISIONRX OPTIONS
ENVISION RX	COMMERCIAL	ENVISIONRX OPTIONS
MEDCO MEDICARE  D     (PDP)	OTHER	ESI
HUMANA - MEDICARE PART D	MEDICARE	HUMANA
HUMANA - MEDICARE PART D	COMMERCIAL	HUMANA
KROGER PRESCRIPTION PLANS	COMMERCIAL	KROGER RX PLNS UNSPEC
KROGER PRESCRIPTION PLANS	OTHER	KROGER RX PLNS UNSPEC
MAGELIN	MEDICAID	MAGELLAN
MAGELIN	PBM	MAGELLAN
MEDICAID (AK)	MEDICAID	MEDICAID (AK)
MEDICAID (AK)	COMMERCIAL	MEDICAID (AK)
MEDICAID (KY)	COMMERCIAL	MEDICAID (KY)
MEDICAID (KY)	MEDICAID	MEDICAID (KY)
MICHIGAN MEDICAID	OTHER	MEDICAID (MI)
MEDICAID (SC)	OTHER	MEDICAID (SC)
MEDICAID (SC)	COMMERCIAL	MEDICAID (SC)
VERMONT MEDICAID	COMMERCIAL	MEDICAID (VT)
VERMONT MEDICAID	MEDICAID	MEDICAID (VT)
MEDICARE B	COMMERCIAL	MEDICARE B
MEDICARE B	MEDICARE	MEDICARE B
RXEDO	OTHER	RXEDO UNSPEC
RXEDO	COMMERCIAL	RXEDO UNSPEC
TRICARE HUMANA MILITARY	GOVERNMENT	TRICARE
TRICARE HUMANA MILITARY	COMMERCIAL	TRICARE
